嗚呼,ああ,"Ah!;Oh!;Alas!",
斬る,きる,"to behead;to murder",
着る,きる,"to wear;to put on (from shoulders down)",
斬る,きる,"to behead;to murder",
奇麗,きれい,"pretty;clean;nice;tidy;beautiful;fair",
切れる,きれる,"to cut well;to be sharp;to break;to snap;to wear out;to be injured;to burst;to collapse;to break off;to be disconnected;to be out of;to expire;to sever (connections) with;sharp;shrewd;less than",
記録,きろく,"record;minutes;document",
際,きわ,"edge;brink;verge;side",
木綿,きわた,"cotton",
気を付ける,きをつける,"to be careful;to pay attention;to take care",
禁煙,きんえん,"No Smoking!",
金額,きんがく,"amount of money",
近々,きんきん,"nearness;before long",
金魚,きんぎょ,"goldfish",
禁止,きんし,"prohibition;ban",
近所,きんじょ,"neighbourhood",
金銭,きんせん,"money;cash",
金属,きんぞく,"metal",
近代,きんだい,"present day",
緊張,きんちょう,"tension;mental strain;nervousness",
筋肉,きんにく,"muscle;sinew",
金融,きんゆう,"monetary circulation;credit situation",
金曜,きんよう,"Friday",
議員,ぎいん,"member of the Diet  congress or parliament",
議会,ぎかい,"Diet;congress;parliament",
技師,ぎし,"engineer;technician",
儀式,ぎしき,"ceremony;rite;ritual;service",
技術,ぎじゅつ,"art;technique;technology;skill",
議長,ぎちょう,"chairman",
,ぎっしり,"tightly;fully",
義務,ぎむ,"duty;obligation;responsibility",
疑問,ぎもん,"question;problem;doubt;guess",
逆,ぎゃく,"reverse;opposite",
牛乳,ぎゅうにゅう,"(cow's) milk",
行,ぎょう,"line;row;verse",
行儀,ぎょうぎ,"manners",
行事,ぎょうじ,"event;function",
行列,ぎょうれつ,"line;procession;matrix (math)",
漁業,ぎょぎょう,"fishing (industry)",
玉,ぎょく,"king (shogi)",
議論,ぎろん,"argument;discussion;dispute",
銀,ぎん,"1.  silver;silver coin;silver paint; 2.  silver general (shogi)",
銀行,ぎんこう,"bank",
句,く,"phrase;clause;sentence;passage;paragraph;expression;line;verse;stanze;17-syllable poem",
区域,くいき,"limits;boundary;domain;zone;sphere;territory",
食う,くう,"to eat",
空気,くうき,"air;atmosphere",
空港,くうこう,"airport",
空想,くうそう,"daydream;phantasy;fancy;vision",
空中,くうちゅう,"sky;air",
釘,くぎ,"nail",
区切る,くぎる,"to punctuate;to cut off;to mark off;to stop;to put an end to",
潜る,くぐる,"1.  to drive;to pass through; 2.  to evade;to hide; 3.  to dive (into or under water);to go underground",
草,くさ,"grass",
臭い,くさい,"stinking",
鎖,くさり,"chain",
腐る,くさる,"to rot;to go bad",
櫛,くし,"comb",
嚏,くしゃみ,"sneeze",
苦心,くしん,"pain;trouble;anxiety;diligence;hard work",
苦情,くじょう,"complaint;troubles;objection",
薬,くすり,"medicine",
薬指,くすりゆび,"ring finger",
屑,くず,"waste;scrap",
崩す,くずす,"to destroy;to pull down;to make change (money)",
崩れる,くずれる,"to collapse;to crumble",
癖,くせ,"a habit (often a bad habit  i.e. vice);peculiarity",
草臥れる,くたびれる,"to get tired;to wear out",
砕く,くだく,"to break;to smash",
砕ける,くだける,"to break;to be broken",
下さる,くださる,"to give;to confer",
果物,くだもの,"fruit",
下らない,くだらない,"good-for-nothing;stupid;trivial;worthless",
下り,くだり,"down-train (going away from Tokyo)",
下る,くだる,"to get down;to descend",
口,くち,"mouth;orifice;opening",
口,くち,"mouth;orifice;opening",
唇,くちびる,"lips",
口紅,くちべに,"lipstick",
くっ付く,くっつく,"to adhere to;to keep close to",
くっ付ける,くっつける,"to attach",
靴,くつ,"shoes;footwear",
苦痛,くつう,"pain;agony",
靴下,くつした,"socks",
句読点,くとうてん,"punctuation marks",
諄い,くどい,"verbose;importunate;heavy (taste)",
国,くに,"country",
国,くに,"country",
国境,くにざかい,"national or state border",
配る,くばる,"to distribute;to deliver",
首,くび,"neck",
工夫,くふう,"device;scheme",
区分,くぶん,"division;section;demarcation;(traffic) lane;compartment;classification;sorting",
区別,くべつ,"distinction;differentiation;classification",
組,くみ,"class;group;team;set",
組合,くみあい,"association;union",
組み合わせ,くみあわせ,"combination",
組み立てる,くみたてる,"to assemble;to set up;to construct",
組む,くむ,"to put together",
汲む,くむ,"to draw (water);to ladle;to dip;to scoop;to pump;to have a drink together;to consider;to sympathize with",
酌む,くむ,"to serve sake",
雲,くも,"cloud",
曇り,くもり,"cloudiness;cloudy weather;shadow",
曇る,くもる,"to become cloudy;to become dim",
悔しい,くやしい,"regrettable;mortifying;vexing",
悔やむ,くやむ,"to mourn",
位,くらい,"grade;rank;court order;dignity;nobility;situation;throne;crown;occupying a position;about;almost;as;rather;at least;enough to",
暗い,くらい,"dark;gloomy",
位,くらい,"grade;rank;court order;dignity;nobility;situation;throne;crown;occupying a position;about;almost;as;rather;at least;enough to",
暮らし,くらし,"living;livelihood;subsistence;circumstances",
暮らす,くらす,"to live;to get along",
比べる,くらべる,"to compare",
繰り返す,くりかえす,"to repeat;to do something over again",
狂う,くるう,"to go mad;to get out of order",
苦しい,くるしい,"painful;difficult",
苦しむ,くるしむ,"to suffer;to groan;to be worried",
苦しめる,くるしめる,"to torment;to harass;to inflict pain",
車,くるま,"car;vehicle;wheel",
車,くるま,"car;vehicle;wheel",
包む,くるむ,"to be engulfed in;to be enveloped by;to wrap up;to tuck in;to pack;to do up;to cover with;to dress in;to conceal",
包む,くるむ,"to be engulfed in;to be enveloped by;to wrap up;to tuck in;to pack;to do up;to cover with;to dress in;to conceal",
暮れ,くれ,"year end;sunset;nightfall;end",
呉れ呉れも,くれぐれも,"repeatedly;sincerely;earnestly",
呉れる,くれる,"to give;to let one have;to do for one;to be given",
暮れる,くれる,"to get dark;to end;to come to an end;to close;to run out",
黒,くろ,"black;dark",
黒い,くろい,"black",
苦労,くろう,"troubles;hardships",
加える,くわえる,"to append;to sum up;to add (up);to include;to increase;to inflict",
加える,くわえる,"to append;to sum up;to add (up);to include;to increase;to inflict",
詳しい,くわしい,"knowing very well;detailed;full;accurate",
加わる,くわわる,"to join in;to accede to;to increase;to gain in (influence)",
君,くん,"Mr (junior);master;boy",
訓練,くんれん,"practice",
具合,ぐあい,"condition;state;manner;health",
偶数,ぐうすう,"even number",
偶然,ぐうぜん,"(by) chance;unexpectedly;suddenly;accident;fortuity",
具体,ぐたい,"concrete;tangible;material",
,ぐっすり,"sound asleep;fast asleep",
,ぐらい,"approximately",
郡,ぐん,"country;district",
群,ぐん,"group (math)",
軍隊,ぐんたい,"army;troops",
毛,け,"hair;fur",
計,けい,"plan",
頃,けい,"time;about;toward;approximately (time)",
傾,けい,"lean;incline",
敬意,けいい,"respect;honour",
経営,けいえい,"management;administration",
計画,けいかく,"plan;project;schedule;scheme;program",
警官,けいかん,"policeman",
景気,けいき,"condition;state;business (condition)",
経験,けいけん,"experience",
稽古,けいこ,"practice;training;study",
傾向,けいこう,"tendency;trend;inclination",
蛍光灯,けいこうとう,"fluorescent lamp;person who is slow to react",
警告,けいこく,"warning;advice",
敬語,けいご,"honorific;term of respect",
警察,けいさつ,"police",
計算,けいさん,"calculation;reckoning",
経済,けいざい,"economics;business;finance;economy",
形式,けいしき,"form;formality;format;math expression",
掲示,けいじ,"notice;bulletin",
刑事,けいじ,"criminal case;(police) detective",
継続,けいぞく,"continuation",
毛糸,けいと,"knitting wool",
系統,けいとう,"system;family line;geological formation;lineage;ancestry",
経度,けいど,"longitude",
競馬,けいば,"horse racing",
警備,けいび,"defense;guard;policing;security",
契約,けいやく,"contract;compact;agreement",
経由,けいゆ,"go by the way;via",
形容詞,けいようし,"true adjective",
形容動詞,けいようどうし,"adjectival noun;quasi-adjective",
怪我,けが,"injury (to animate object);hurt",
汚す,けがす,"to disgrace;to dishonour",
汚れる,けがれる,"to get dirty;to become dirty",
毛皮,けがわ,"fur;skin;pelt",
今朝,けさ,"this morning",
景色,けしき,"scenery;scene;landscape",
化粧,けしょう,"make-up (cosmetic)",
消しゴム,けしゴム,"eraser;India rubber",
消す,けす,"to erase;to delete;to turn off power",
削る,けずる,"to shave (wood or leather);to sharpen;to plane;to whittle;to pare;to scrape off;to crossout;to reduce;to curtail",
桁,けた,"column;beam;digit",
吝嗇,けち,"stinginess;miser;miserliness;skinflint;tightwad;niggard;pinching pennies",
結果,けっか,"result;consequence",
欠陥,けっかん,"defect;fault;deficiency",
結局,けっきょく,"after all;eventually",
結構,けっこう,"1.  (uk) splendid;nice;well enough;tolerably;wonderful;delicious;sweet; 2.  (arch) construction;architecture",
結婚,けっこん,"marriage",
傑作,けっさく,"masterpiece;best work;boner;blunder",
決して,けっして,"never;by no means",
決心,けっしん,"determination;resolution",
欠席,けっせき,"absence;non-attendance",
欠点,けってん,"faults;defect;weakness",
血圧,けつあつ,"blood pressure",
血液,けつえき,"blood",
決断,けつだん,"decision;determination",
結論,けつろん,"conclusion",
煙い,けむい,"smoky",
煙,けむり,"smoke;fumes",
蹴る,ける,"to kick",
,けれど,"but;however",
険しい,けわしい,"inaccessible place;impregnable position;steep place;sharp eyes",
券,けん,"ticket;coupon;bond;certificate",
権,けん,"authority;the right (to do something)",
喧嘩,けんか,"quarrel;(drunken) brawl;failure",
見解,けんかい,"opinion;point of view",
見学,けんがく,"inspection;study by observation;field trip",
研究,けんきゅう,"study;research;investigation",
謙虚,けんきょ,"modesty;humility",
健康,けんこう,"health;sound;wholesome",
検査,けんさ,"inspection (e.g. customs  factory);examination",
研修,けんしゅう,"training",
建設,けんせつ,"construction;establishment",
謙遜,けんそん,"humble;humility;modesty",
建築,けんちく,"construction;architecture",
県庁,けんちょう,"prefectural office",
見当,けんとう,"be found;aim;mark;estimate;guess;approx;direction",
検討,けんとう,"consideration;examination;investigation;study;scrutiny",
顕微鏡,けんびきょう,"microscope",
見物,けんぶつ,"sightseeing",
憲法,けんぽう,"constitution",
懸命,けんめい,"eagerness;earnestness;risking one's life",
権利,けんり,"right;privilege",
芸術,げいじゅつ,"(fine) art;the arts",
芸能,げいのう,"public entertainment;accomplishments;attainments",
外科,げか,"surgical department",
劇,げき,"drama;play",
隙,げき,"1.  chance or opportunity;chink (in one's armor); 2.  interval;gap",
劇場,げきじょう,"theatre;playhouse",
激増,げきぞう,"sudden increase",
下車,げしゃ,"alighting",
下宿,げしゅく,"boarding;lodging;boarding house",
下旬,げじゅん,"month (last third of)",
下水,げすい,"drainage;sewage;ditch;gutter;sewerage",
下駄,げた,"geta (Japanese footwear);wooden clogs",
月給,げっきゅう,"monthly salary",
月末,げつまつ,"end of the month",
月曜,げつよう,"Monday",
原,げん,"original;primitive;primary;fundamental;raw",
原,げん,"original;primitive;primary;fundamental;raw",
原因,げんいん,"cause;origin;source",
限界,げんかい,"limit;bound",
玄関,げんかん,"entranceway;entry hall",
元気,げんき,"health(y);robust;vigor;energy;vitality;vim;stamina;spirit;courage;pep",
現金,げんきん,"cash;ready money;mercenary;self-interested",
原稿,げんこう,"manuscript;copy",
言語,げんご,"language",
原産,げんさん,"place of origin;habitat",
現在,げんざい,"present;up to now;nowadays;modern times;current",
原始,げんし,"origin;primeval",
現象,げんしょう,"phenomenon",
現実,げんじつ,"reality",
厳重,げんじゅう,"strict;rigour;severe;firm;strong;secure",
現状,げんじょう,"present condition;existing state;status quo",
現場,げんじょう,"actual spot;scene;scene of the crime",
現代,げんだい,"nowadays;modern times;present-day",
限度,げんど,"limit;bounds",
現に,げんに,"actually;really",
原理,げんり,"principle;theory;fundamental truth",
原料,げんりょう,"raw materials",
子,こ,"child",
戸,こ,"counter for houses",
巨,こ,"big;large;great",
恋,こい,"love;tender passion",
濃い,こい,"thick;dense;strong",
恋しい,こいしい,"1.  dear;beloved;darling; 2.  yearned for",
恋人,こいびと,"lover;sweetheart",
,こう,"in this way",
校,こう,"-school;proof",
行員,こういん,"bank clerk",
幸運,こううん,"good luck;fortune",
公園,こうえん,"(public) park",
講演,こうえん,"lecture;address",
効果,こうか,"effect;effectiveness;efficacy;result",
硬貨,こうか,"coin",
高価,こうか,"high price",
交換,こうかん,"exchange;interchange;reciprocity;barter;substitution;clearing (of checks)",
郊外,こうがい,"suburb;outskirts",
公害,こうがい,"public nuisance;pollution",
高級,こうきゅう,"high class;high grade",
公共,こうきょう,"public;community;public service;society;communal",
講義,こうぎ,"lecture",
工業,こうぎょう,"(manufacturing) industry",
航空,こうくう,"aviation;flying",
光景,こうけい,"scene;spectacle",
貢献,こうけん,"contribution;services",
工芸,こうげい,"industrial arts",
攻撃,こうげき,"attack;strike;offensive;criticism;censure",
孝行,こうこう,"filial piety",
高校,こうこう,"senior high school",
広告,こうこく,"advertisement",
交差,こうさ,"cross",
交際,こうさい,"company;friendship;association;society;acquaintance",
交差点,こうさてん,"crossing;intersection",
講師,こうし,"lecturer",
公式,こうしき,"formula;formality;official",
校舎,こうしゃ,"school building",
後者,こうしゃ,"the latter",
公衆,こうしゅう,"the public",
工事,こうじ,"construction work",
口実,こうじつ,"excuse",
工場,こうじょう,"factory;plant;mill;workshop",
香水,こうすい,"perfume",
公正,こうせい,"justice;fairness;impartiality",
構成,こうせい,"organization;composition",
功績,こうせき,"achievements;merit;meritorious service;meritorious deed",
光線,こうせん,"beam;light ray",
高層,こうそう,"upper",
高速,こうそく,"high speed;high gear",
構造,こうぞう,"structure;construction",
交替,こうたい,"alternation;change;relief;relay;shift",
耕地,こうち,"arable land",
紅茶,こうちゃ,"black tea",
交通,こうつう,"communication;transportation;traffic;intercourse",
交通機関,こうつうきかん,"transportation facilities",
校庭,こうてい,"campus",
肯定,こうてい,"positive;affirmation",
高等,こうとう,"high class;high grade",
高等学校,こうとうがっこう,"senior high school",
高度,こうど,"altitude;height;advanced",
行動,こうどう,"action;conduct;behaviour;mobilization",
講堂,こうどう,"auditorium",
後輩,こうはい,"junior (at work or school)",
交番,こうばん,"police box",
公表,こうひょう,"official announcement;proclamation",
幸福,こうふく,"happiness;blessedness",
鉱物,こうぶつ,"mineral",
公平,こうへい,"fairness;impartial;justice",
候補,こうほ,"candidacy",
公務,こうむ,"official business;public business",
項目,こうもく,"item",
紅葉,こうよう,"autumn colours;maple",
紅葉,こうよう,"autumn colours;maple",
交流,こうりゅう,"alternating current;intercourse;(cultural) exchange;intermingling",
考慮,こうりょ,"consideration;taking into account",
効力,こうりょく,"effect;efficacy;validity;potency",
声,こえ,"voice",
越える,こえる,"to cross over;to cross;to pass through;to pass over (out of)",
超える,こえる,"to cross over;to cross;to pass through;to pass over (out of)",
氷,こおり,"ice;shaved ice",
焦がす,こがす,"to burn;to scorch;to singe;to char",
呼吸,こきゅう,"breath;respiration",
故郷,こきょう,"home town;birthplace;old village;historic village;native place;one's old home",
国王,こくおう,"king",
国語,こくご,"national language",
国際,こくさい,"international",
国籍,こくせき,"nationality",
黒板,こくばん,"blackboard",
克服,こくふく,"subjugation;conquest",
国民,こくみん,"national;people;citizen",
穀物,こくもつ,"grain;cereal;corn",
国立,こくりつ,"national",
漕ぐ,こぐ,"to row;to scull;to pedal",
焦げる,こげる,"to burn;to be burned",
箇箇,ここ,"individual;separate",
九日,ここのか,"nine days;the ninth day (of the month)",
九つ,ここのつ,"nine",
心,こころ,"mind;heart;spirit",
心当たり,こころあたり,"having some knowledge of;happening to know",
心得る,こころえる,"to be informed;to have thorough knowledge",
凍える,こごえる,"to freeze;to be chilled;to be frozen",
凝る,こごる,"to congeal;to freeze",
腰,こし,"hip",
腰掛け,こしかけ,"seat;bench",
腰掛ける,こしかける,"to sit (down)",
故障,こしょう,"break-down;failure;accident;out of order",
胡椒,こしょう,"pepper",
拵える,こしらえる,"to make;to manufacture",
個人,こじん,"individual;private person;personal;private",
越す,こす,"to go over (e.g. with audience)",
超す,こす,"to cross;to pass;to tide over",
固体,こたい,"solid (body)",
答え,こたえ,"answer;response",
答える,こたえる,"to answer;to reply",
,こちら,"this person;this direction;this side",
,こちらこそ,"it is I who should say so",
国家,こっか,"state;country;nation",
国会,こっかい,"National Diet;parliament;congress",
骨折,こっせつ,"bone fracture",
,こっそり,"stealthily;secretly",
骨,こつ,"knack;skill",
小遣い,こづかい,"personal expenses;pocket money;spending money;incidental expenses;allowance",
小包,こづつみ,"parcel;package",
古典,こてん,"old book;classics;classic",
事,こと,"thing;matter;fact;circumstances;business;reason;experience",
琴,こと,"Koto (Japanese harp)",
今年,ことし,"this year",
言付ける,ことづける,"to send word;to send a message",
異なる,ことなる,"to differ;to vary;to disagree",
言葉,ことば,"word(s);language;speech",
言葉遣い,ことばづかい,"speech;expression;wording",
小鳥,ことり,"small bird",
諺,ことわざ,"proverb;maxim",
断る,ことわる,"to refuse;to inform;to ask leave;to decline;to dismiss",
子供,こども,"child;children",
粉,こな,"flour;meal;powder",
,こないだ,"the other day;lately;recently",
此の,この,"this",
この間,このあいだ,"the other day;lately;recently",
この頃,このごろ,"recently",
好み,このみ,"liking;taste;choice",
好む,このむ,"to like;to prefer",
零す,こぼす,"to spill",
零れる,こぼれる,"to overflow;to spill",
細かい,こまかい,"small;fine;minute",
困る,こまる,"to be worried;to be bothered",
混む,こむ,"to be crowded",
込む,こむ,"to be crowded",
込む,こむ,"to be crowded",
小麦,こむぎ,"wheat",
米,こめ,"uncooked rice",
小屋,こや,"hut;cabin;shed;(animal) pen",
小指,こゆび,"little finger",
堪える,こらえる,"to bear;to stand;to endure;to put up with;to support;to withstand;to resist;to brave;to be fit for;to be equal to",
此れ,これ,"this",
此れ等,これら,"these",
転がす,ころがす,"to roll",
転がる,ころがる,"to roll;to tumble",
殺す,ころす,"to kill",
転ぶ,ころぶ,"to fall down",
怖い,こわい,"frightening;eerie",
壊す,こわす,"to break;to break down",
壊れる,こわれる,"to be broken;to break",
紺,こん,"navy blue;deep blue",
今回,こんかい,"now;this time;lately",
今後,こんご,"from now on;hereafter",
混合,こんごう,"mixing;mixture",
混雑,こんざつ,"confusion;congestion",
献立,こんだて,"menu;program;schedule",
今度,こんど,"now;this time;next time;another time",
,こんな,"such;like this",
,こんなに,"so;like this;in this way",
困難,こんなん,"difficulty;distress",
今日は,こんにちは,"hello;good day (daytime greeting  id)",
今晩は,こんばんは,"good evening",
婚約,こんやく,"engagement;betrothal",
混乱,こんらん,"disorder;chaos;confusion",
五,ご,"(num) five",
語,ご,"language;word",
碁,ご,"Go (board game of capturing territory)",
御,ご,"go-;honourable",
濠,ごう,"moat",
業,ごう,"Buddhist karma;actions committed in a former life",
号,ごう,"number;issue",
強引,ごういん,"overbearing;coercive;pushy;forcible;high-handed",
豪華,ごうか,"wonderful;gorgeous;splendor;pomp;extravagance",
合格,ごうかく,"success;passing (e.g. exam);eligibility",
強気,ごうぎ,"great;grand",
合計,ごうけい,"sum total;total amount",
強盗,ごうとう,"robbery;burglary",
合同,ごうどう,"combination;incorporation;union;amalgamation;fusion;congruence",
合理,ごうり,"rational",
合流,ごうりゅう,"confluence;union;linking up;merge",
誤解,ごかい,"misunderstanding",
語学,ごがく,"language study",
極,ごく,"quite;very",
ご苦労様,ごくろうさま,"Thank you very much for your....",
午後,ごご,"afternoon;p.m.;pm",
五十音,ごじゅうおん,"the Japanese syllabary",
午前,ごぜん,"morning;A.M.;am",
ご馳走,ごちそう,"feast;treating (someone)",
ご馳走さま,ごちそうさま,"feast",
毎,ごと,"each respectively",
毎,ごと,"each respectively",
毎,ごと,"each respectively",
御飯,ごはん,"rice (cooked);meal",
ご無沙汰,ごぶさた,"not writing or contacting for a while",
塵,ごみ,"rubbish;trash;garbage",
御免,ごめん,"your pardon;declining (something);dismissal;permission",
御免ください,ごめんください,"May I come in?",
御免なさい,ごめんなさい,"I beg your pardon;excuse me",
娯楽,ごらく,"pleasure;amusement",
御覧,ごらん,"look;inspection;try",
差,さ,"difference;variation",
,さあ,"come (int);come now",
再,さい,"re-;again;repeated",
差異,さい,"difference;disparity",
歳,さい,"#NAME?",
最近,さいきん,"latest;most recent;nowadays",
最高,さいこう,"highest;supreme;the most",
最後,さいご,"last;end;conclusion",
再三,さいさん,"again and again;repeatedly",
最終,さいしゅう,"last;final;closing",
最初,さいしょ,"beginning;outset;first;onset",
祭日,さいじつ,"national holiday;festival day",
催促,さいそく,"request;demand;claim;urge (action);press for",
最中,さいちゅう,"in the middle of;height of;in course of;midst",
最低,さいてい,"least;lowest;worst;nasty;disgusting;""fuck you""",
採点,さいてん,"marking;grading;looking over",
災難,さいなん,"calamity;misfortune",
才能,さいのう,"talent;ability",
裁判,さいばん,"trial;judgement",
財布,さいふ,"purse;wallet",
裁縫,さいほう,"sewing",
幸い,さいわい,"happiness;blessedness",
坂,さか,"slope;hill",
境,さかい,"border;boundary;mental state",
逆さ,さかさ,"reverse;inversion;upside down",
逆様,さかさま,"inversion;upside down",
杯,さかずき,"wine cups",
逆上る,さかのぼる,"to go back;to go upstream;to make retroactive",
酒場,さかば,"bar;bar-room",
逆らう,さからう,"to go against;to oppose;to disobey;to defy",
盛り,さかり,"summit;peak;prime;be at one's best",
盛る,さかる,"to prosper;to flourish;to copulate (animals)",
盛ん,さかん,"popularity;prosperous",
性,さが,"one's nature;custom;property;characteristic",
捜す,さがす,"to search;to seek;to look for",
探す,さがす,"to search;to seek;to look for",
下がる,さがる,"to hang down;to abate;to retire;to fall;to step back",
先,さき,"point (e.g. pencil);destination;tip;end;nozzle;head (of a line);the first priority;the future;objective;sequel;remainder;the other party;future;previous;prior;former",
一昨昨日,さきおととい,"two days before yesterday",
先程,さきほど,"some time ago",
作業,さぎょう,"work;operation;manufacturing;fatigue duty",
咲く,さく,"to bloom",
裂く,さく,"to tear;to split",
昨,さく,"last (year);yesterday",
索引,さくいん,"index;indices",
作者,さくしゃ,"author;authoress",
削除,さくじょ,"elimination;cancellation;deletion;erasure",
作成,さくせい,"frame;draw up;make;producing;creating;preparing;writing",
作品,さくひん,"work;opus;performance;production",
作物,さくぶつ,"literary work",
作文,さくぶん,"composition;writing",
桜,さくら,"cherry blossom;cherry tree",
探る,さぐる,"to search;to look for;to sound out",
酒,さけ,"alcohol;sake",
酒,さけ,"alcohol;sake",
叫ぶ,さけぶ,"to shout;to cry",
避ける,さける,"to avoid",
下げる,さげる,"to hang;to lower;to move back;to wear;to dismiss;to grant",
支える,ささえる,"to support;to prop",
囁く,ささやく,"to whisper;to murmur",
刺さる,ささる,"to stick;to be stuck",
差し上げる,さしあげる,"to give;to hold up;to lift up;to offer",
差し支え,さしつかえ,"hindrance;impediment",
差し引く,さしひく,"to deduct",
刺身,さしみ,"sliced raw fish",
些事,さじ,"something small or petty;trifle",
差す,さす,"to raise (stretch out) hands;to raise umbrella",
刺す,さす,"to pierce;to stab;to prick;to thrust;to bite;to sting;to pin down;to stitch;to put (a runner) out;to pole (a boat);to catch (with a line);to stick",
差す,さす,"to raise (stretch out) hands;to raise umbrella",
指す,さす,"to point;to put up umbrella;to play",
注す,さす,"to pour (drink);to serve (drinks)",
射す,さす,"to shine;to strike",
流石,さすが,"clever;adept;good;expectations;as one would expect",
誘う,さそう,"to invite;to call out",
作家,さっか,"author;writer;novelist;artist",
,さっき,"some time ago",
作曲,さっきょく,"composition;setting (of music)",
,さっさと,"quickly",
早速,さっそく,"at once;immediately;without delay;promptly",
,さっぱり,"feeling refreshed;feeling relieved;neat;trimmed",
札,さつ,"note;paper money",
冊,さつ,"counter for books",
撮影,さつえい,"photographing",
偖,さて,"well;now;then",
砂糖,さとう,"sugar",
砂漠,さばく,"desert",
錆び,さび,"rust (colour)",
寂しい,さびしい,"lonely;lonesome;solitary;desolate",
錆びる,さびる,"to rust;to become rusty",
差別,さべつ,"discrimination;distinction;differentiation",
作法,さほう,"manners;etiquette;propriety",
様,さま,"Mr. or Mrs.;manner;kind;appearance",
様,さま,"Mr. or Mrs.;manner;kind;appearance",
様々,さまざま,"varied;various",
冷ます,さます,"to cool;to dampen;to let cool;to throw a damper on;to spoil",
覚ます,さます,"to awaken",
妨げる,さまたげる,"to disturb;to prevent",
寒い,さむい,"cold (e.g. weather)",
冷める,さめる,"to become cool;to wear off;to abate;to subside;to dampen;to cool down (interest);to come down (fever)",
覚める,さめる,"to wake;to wake up",
左右,さゆう,"influence;control;domination;left and right",
左様なら,さようなら,"good-bye",
皿,さら,"plate;dish",
再来月,さらいげつ,"month after next",
再来週,さらいしゅう,"week after next",
再来年,さらいねん,"year after next",
更に,さらに,"furthermore;again;after all;more and more;moreover",
去る,さる,"to leave;to go away",
猿,さる,"monkey",
騒がしい,さわがしい,"noisy",
騒ぎ,さわぎ,"uproar;disturbance",
爽やか,さわやか,"fresh;refreshing;invigorating;clear;fluent;eloquent",
触る,さわる,"to touch;to feel",
三,さん,"(num) three",
,さん,"Mr or Mrs",
参加,さんか,"participation",
三角,さんかく,"triangle;triangular",
産業,さんぎょう,"industry",
参考,さんこう,"reference;consultation",
算数,さんすう,"arithmetic",
賛成,さんせい,"approval;agreement;support;favour",
酸性,さんせい,"acidity",
酸素,さんそ,"oxygen",
産地,さんち,"producing area",
散歩,さんぽ,"walk;stroll",
山林,さんりん,"mountain forest;mountains and forest",
在学,ざいがく,"(enrolled) in school",
財産,ざいさん,"property;fortune;assets",
材木,ざいもく,"lumber;timber",
材料,ざいりょう,"ingredients;material",
座敷,ざしき,"tatami room",
座席,ざせき,"seat",
雑誌,ざっし,"journal;magazine",
,ざっと,"roughly;in round numbers",
雑音,ざつおん,"noise (jarring  grating)",
座布団,ざぶとん,"cushion (Japanese);square cushion used when sitting on one's knees in a tatami-mat floor",
残念,ざんねん,"deplorable;bad luck;regret;disappointment",
四,し,"(num) four",
詩,し,"poem;verse of poetry",
次,し,"order;sequence;times;next;below",
四,し,"(num) four",
試合,しあい,"match;game;bout;contest",
仕上がる,しあがる,"to be finished",
明々後日,しあさって,"two days after tomorrow",
幸せ,しあわせ,"happiness;good fortune;luck;blessing",
,しいんと,"silent (as the grave);(deathly) quiet",
塩辛い,しおからい,"salty (taste)",
司会,しかい,"chairmanship",
四角,しかく,"square",
四角い,しかくい,"square",
然し,しかし,"however;but",
仕方,しかた,"way;method;means;resource;course",
仕方がない,しかたがない,"it can't be helped;it's inevitable;it's no use;can't stand it;being impatient;being annoyed",
而も,しかも,"moreover;furthermore;nevertheless;and yet",
叱る,しかる,"to scold",
式,しき,"equation;formula;ceremony",
四季,しき,"four seasons",
式,しき,"equation;formula;ceremony",
敷地,しきち,"site",
支給,しきゅう,"payment;allowance",
至急,しきゅう,"urgent;pressing",
頻りに,しきりに,"frequently;repeatedly;incessantly;eagerly",
敷く,しく,"to spread out;to lay out",
試験,しけん,"examination;test;study",
刺激,しげき,"stimulus;impetus;incentive;excitement;irritation;encouragement;motivation",
茂る,しげる,"to grow thick;to luxuriate;to be luxurious",
資源,しげん,"resources",
仕事,しごと,"work;occupation;employment",
四捨五入,ししゃごにゅう,"rounding up (fractions)",
支出,ししゅつ,"expenditure;expenses",
指示,しじ,"indication;instruction;directions",
始終,しじゅう,"continuously;from beginning to end",
詩人,しじん,"poet",
静か,しずか,"quiet;peaceful",
静まる,しずまる,"to quieten down;to calm down;to subside;to die down;to abate;to be suppressed",
沈む,しずむ,"to sink;to feel depressed",
姿勢,しせい,"attitude;posture",
自然,しぜん,"nature;spontaneous",
自然科学,しぜんかがく,"natural science",
思想,しそう,"thought;idea",
子孫,しそん,"descendants;posterity;offspring",
下,した,"under;below;beneath",
舌,した,"tongue",
死体,したい,"corpse",
従う,したがう,"to abide (by the rules);to obey;to follow;to accompany",
下書き,したがき,"rough copy;draft",
従って,したがって,"therefore;consequently;in accordance with",
下着,したぎ,"underwear",
支度,したく,"preparation",
親しい,したしい,"intimate;close (e.g. friend)",
認める,したためる,"to write up",
下町,したまち,"Shitamachi;lower parts of town",
次第,しだい,"order;precedence;circumstances;immediate(ly);as soon as;dependent upon",
七,しち,"(num) seven",
七,しち,"(num) seven",
確り,しっかり,"firmly;tightly;reliable;level-headed;steady",
湿気,しっき,"moisture;humidity;dampness",
